Sentiment,Text Tweet
positive,"Selamat @NajwaShihab dan keluarga besar @Metro_TV Prestasi yg luar biasa, Dialog keren rugi klo terlewatkan nonton mata najwa"
positive,@TV_MATANAJWA Semoga acara Mata Najwa Metro TV jadi acara favorit dan semakin jaya berkualitas di masa mendatang
positive,Pasti menang cuma mata najwa yang paling ok RT @Metro_TV: Dukung Mata Najwa menjadi Program TV terbaik http://tl.gd/nnoc2f
positive,"Mata Najwa MetroTV, Inspiratif"
positive,KENAPA HARI INI TERASA TENTRAM DAN BAHAGIA NONTON MATA NAJWA @Metro_TV
positive,Mata Najwa paling keren acaranya matanya setajam silet
positive,Mata Najwa malam ini kayaknya bakal seru banget
positive,Mata Najwa memang paling keren Mantap
positive,"Keren! Tampil di Kandang Lawan, Pak Anies Baswedan Tampak Gemilang di Mata Najwa Metro TV"
positive,memang cukup romantis dan memuaskan pemirsa krn adanya mata najwa semakin sukses
positive,Menarik sekali mengikuti diskusi Ahok - Anis di Mata Najwa http://fb.me/5KYy9nAdC
positive,ahok merasa pinter dan merasa hebat di debat acara mata najwa metro tv.
positive,Mata Najwa dan Metro Tv berpihak pada paslon 3 Untung Ahok cerdas. Semangat pak! Allah bersamamu
positive,"Sudah terbukti di mata Najwa, kalau Ahok lebih hebat dari Anis Insaallah Ahok Jarot menang.."
positive,"sip, keren. debat ala mata najwa lebih keren daripada ala kpud yg sdh diatur utk lbh jaim"
positive,semoga bapak jokowi melihat acara mata najwa supaya masalah masalah yg dipelosok dapat diatasi
positive,keren deh. Mata Najwa juga.
positive,metro tv keren inspiratif dgn mata najwa nya kick andy
positive,metro tv emang tv paling keren ya edukatif dan menginspirasi seperti mata najwa dan kick andy
positive,Pemimpin itu harus Cerdas santun Tegas jujur bersih saya pilih AniesSandiPemersatu #MataNajwaMetroTv
positive,"Liat pemimpin2 yg islami, cerdas teladan #matanajwametrotv"
positive,rame banget malam ini #MataNajwaMetroTV selalu menunggu topik lain yang seru dan nambah wawasan.
positive,Kado indah malam ini. @najwashihab  matanajwametrotv https://instagram.com/p/3OoWqCwgYj/
positive,"Tjokro dan rumahnya menjadi teladan, tentang senioritas yang menghidupkan dan bukan mengkerdilkan. #MataNajwaMetroTv"
positive,"Semangat bp bambang woidjojayanto, @matanajwaMetroTv #saveKPK"
positive,belajar dari gusdur matanajwametrotv
positive,"mata najwa, ibu susi bpk dahlan dan bpk faisal basri inspiratif #matanajwametrotv"
positive,metro tv keren malam ini yang lg malam mingguan rugi klo ga nonton mata najwa @matanajwametrotv
positive,Kemerdekaan adalah hak segala bangsa #TanyaJokowi #MataNajwaMetroTV
positive,Seru nih mata najwa malam ini #MATANAJWAMETROTV
positive,Salut buat Ahok. #matanajwametrotv #hutjekardah
positive,Super Salut dengan Pak Ahok #matanajwametrotv
positive,"Matanajwametrotv berwibawa tak byk kata_berkuasa tetap sederhana, kagum"
positive,Salut dan bangga sm pak BJ. Habibie utk yg kesekian kalinya #MataNajwaMetroTV
positive,"obrolan santai menarik abraham slamet, jk jokowi anis baswedan ganjar #matanajwametrotv"
positive,"Anis baswedan , jokowi  ganjar pranowo  JK  abraham samad inspirasi indonesia  Keren !!! #matanajwametrotv"
positive,para pemimpin yg luar biasa #MataNajwaMetroTv
positive,"Kerendahan, kesederhanaan pak jokowi ini patut di tiru #matanajwametrotv"
positive,Seru nih Dahlan Iskan dan ketua DPR #matanajwametroTV
positive,Desa Bebas Rokok yg sangat menginspirasi dan ternyata ada. Luar biasa #MataNajwaMetroTV
positive,Selalu dan masih terinspirasi dengan cinta BJH dan HAB #matanajwaMetroTV http://myloc.me/8DDtO
positive,Selalu memberikan banyak inspirasi #matanajwaMetroTV
positive,Narasumber yang luar biasa #matanajwaMetroTV
positive,Cie yg lg ada job di @MataNajwa
negative,setelah nonton mata najwa soal radikalisme di @Metro_TV langsung keluar berita tersebut. Seram
negative,"Mata Najwa acara sampah, yg cuman memperkeruh suasana. Gue sbg pelajar mending pilih ILC. @MataNajwa @NajwaShihab @Metro_TV"
negative,kata aneh lagi diacara mata najwa metrotv mengajarkan Islam kepada umat Islam dikatakan Islamisi lebih edan lagi tokoh Islam manggut2
negative,ILC mendinginkan Mata Najwa memprovokasi Metro tv emang tv sampah ga bosan2 memojokan islam ! Metro tv perusak pancasila
negative,"Laporkan metro tv ke kpi, metro itu stres mata najwa selalu kalah oleh ILC"
negative,KECEWA MATA NAJWA MALAM INI TIDAK BERMUTU!! NARASI NAJWA BUKTI DIA GA NGERTI MASALAH KARENA KEBERPIHAKAN JADILAH KEBODOHAN
negative,"@Metro_TV untuk acara Mata najwa, host nya @NajwaShihab JANGAN SUKA MENYELA PEMBICARAAN ORANG KALAU BELUM SELESAI. GAK SOPAN"
negative,Jadi emosi & sakit hati nonton mata najwa @metro tv. Ganti chanel masakan aja
negative,"MASA DARI ISIS MIMIN ITU BOM KP. MELAYU, MAAF KATANYA ISIS ORGANISASI APA IKUT ORGANISASI MBAK MATA NAJWA? BETULKAH ITU MIMIN?"
negative,"fotonya kok @Pak_JK , yg integritasnya tdk jelas. Merusak reputasi Mata Najwa aja"
negative,gara2 di bantai teman sendiri sesama anggota DPR di mata najwa lu langsung benci metro TV
negative,@Metro_TV Muak melihat kesombongan FZ di acara live Mata Najwa
negative,"males lihat @Metro_TV biarpun yg datang org nomor satu dunia, ogah. @Metro_TV dan pembawa acara mata najwa sdh dicontreng hitam"
negative,"keseringan masuk @Metro_TV dan bergaul sama mata najwa, engga diapa-apain ngadu2"
negative,"Kan udah bilang di mata najwa metro tv, tanya aja sendiri ke bapak anis kok fitnah"
negative,Kenapa MUI tidak mengeluarkan Fatwa Haram Korupsi? Rasanya harus undang jg para petinggi MUI di mata najwa
negative,"Bravo Mata Najwa.. Debat Pilgub DKI kali ini garing,kalah sama MataNajwa yg mampu menggali lbh dalam #MataNajwa @Metro_TV"
negative,"#BatalDebatKarena Kasihan... pas debat Mata Najwa di metrotv aja Pak Basuki sudah hampir nangis, ga kebayang kemarin debat lagi"
negative,Setelah acara di mata najwa kasihan Pak Anies jd bulan2an di medsos untuk dihujat #AhokDjarotDiRosi
negative,"Nyetel metro tv mata najwa debat kemaren Bikin kesel masalah rumah, coba cek skrg msh ada ga itu rumah di webnya"
negative,"waktu awal sandi muncul sbg cawagub di metro tv dlm acara mata najwa, pak sandi sdh berbohong...."
negative,Ini Kesaksian Mengejutkan Pendukung Anies Yang Merasa Tertipu Di Acara Mata Najwa. MENIPU @Metro_TV @MataNajwa
negative,"#MataNajwaDebatJakarta  Di kandang Ahok, Metro TV dan mata Najwa  Mereka bagaikan sampah yg berserakan Anies pilihanku  Pasti"
negative,Katanya boikot MetroTV tp kok ngintip Mata Najwa
negative,"Malas lihat Anies, bawa sial aja ini orang lebih baik lihat Ahok aja di Mata Najwa"
negative,Nonton Mata Najwa @Metro_TV gw liat Anies ngomong bikin ngantuk #anaktangsel
negative,mata najwa  selalu menuduh menjelekan lawan memfonis lawan
negative,"Liat Mata Najwa @Metro_TV males, diskusi @basuki_btp sama @aniesbaswedan ga imbang.. salah satunya jualan mimpi"
negative,kayaknya mata Najwa mengadu domba kedua cagub di putaran 2 Pilkada DKI nih...
negative,"gak mungkin saya di penjara, saksinya aja palsu kok. Kata pak Ahok  #TerbuktiTeruji #MataNajwaMetroTv"
negative,"pak anis pak anis, rekaman 2 thn lalu msh disimpan loh sm metrotv  gak malu ya nelen ludah sendri? #MataNajwaMetroTv"
negative,Sebagus apapun sistem ketika yang menjalankan orang yg tidak baik. Maka jadilah sistem itu tidak baik pula #matanajwametrotv
negative,"Ridwan Bae tai  Tampang aja udah ngeselin, ayo mbk nana bully trus si Bae #MataNajwaMETROTV"
negative,Miris liat pengaturan skor di sepakbola indonesia  #matanajwametrotv
negative,"Dahulu pemuda berperang melawan penjajah, sekarang pemuda melawan kebiasaan buruk yang tak kunjung berubah #matanajwametrotv"
negative,Pasrah pak ? Haha TAI #MataNajwaMetroTV #SepakBolaMilikSiapa?
negative,"lo bilang kita2 ga punya kerjan ya, @radityadika #MataNajwaMetroTv"
negative,PSSI tempat pelacur diri sudah tak punya hati nurani! memalukan @MataNajwaMetroTV
negative,#MataNajwaMetroTV jembatan comal masih blm jadi... akibatya padat merayap...
negative,Bagaimana penegak MELANGGAR hukum? Kita TIDAK membayar SERAGAM mereka hanya untuk menegakkan HUKUM RIMBA @MataNajwa #MataNajwaMetroTv
negative,Pak wapresnya diketawain mulu ( bajusama staff hotel & celana robek ) @boediono  #matanajwametrotv
negative,RT @PutryVanVan: pemimpin itu mendongrak keadaan bukan mengokohkan materi #Matanajwametrotv
negative,"Tdk cukup dg menonton saja, km harus masuk kedalamnya untuk melakukan perubahan Ahok MataNajwaMetroTV"
negative,lembaga negara di indonesia bobrok semua...  #matanajwametrotv
negative,Org2 tolol. Dibilang DI DUGA dia udh mencak2. Yakin bgt jd tersangka #MataNajwaMetroTV
negative,ini apa banget deh gw paling kesel klo orang2 pada debat pake emosi gini @matanajwametrotv
negative,Orang miskin semakin miskin klo sekolah melakukan pungutan liar terus
negative,"ga boLeh emosi, cepat tua nonton #matanajwametrotv lihat bapak #hotmansutapea tiba2 ikut emosi bicara"
negative,"dr penampilan saja kyk preman taunya bkin kisruh, perusak #matanajwametrotv"
negative,"Jawab aja ga usah berbelit-belit. Muter2 ga jelas, Buang2 waktu. ga mutu #matanajwametroTV"
